line_no,n_vehicle_name,p4_col_G_cell,units_sold_mtd,p4_col_B_cell,sales_mtd,p4_col_C_cell,gross_profit_mtd,p4_col_D_cell,per_unit_sold_mtd,p4_col_E_cell,units_sold_ytd,p4_col_I_cell,sales_ytd,p4_col_J_cell,gross_profit_ytd,p4_col_K_cell,per_unit_sold_ytd
1,Sonata,G3,2,B3,59962,C3,658,D3,329,E3,8,I3,251010,J3,9360,K3,31376.25
2,Sonata N,G4,0,B4,0,C4,0,D4,0,E4,0,I4,0,J4,0,K4,
3,Sonata HEV,G5,0,B5,0,C5,0,D5,0,E5,0,I5,0,J5,0,K5,
4,Elantra,G6,3,B6,81297,C6,2606,D6,868.6666667,E6,11,I6,328956,J6,7890,K6,29905.09091
5,Elantra N,G7,0,B7,0,C7,0,D7,0,E7,0,I7,0,J7,0,K7,
6,Elantra HEV,G8,0,B8,0,C8,0,D8,0,E8,2,I8,55873,J8,814,K8,27936.5
7,IONIQ 6 EV,G9,0,B9,0,C9,0,D9,0,E9,0,I9,0,J9,0,K9,
8,Veloster,G10,0,B10,0,C10,0,D10,0,E10,0,I10,0,J10,0,K10,
9,Hyundai Car Retail Subtotal (Lines 1 to 8),G11,5,B11,141259,C11,3264,D11,652.8,E11,21,I11,635839,J11,18064,K11,30278.04762
10,Santa Fe,G12,1,B12,86778,C12,930,D12,930,E12,24,I12,1053371,J12,25722,K12,43890.45833
11,Santa Fe HEV,G13,3,B13,98309,C13,2171,D13,723.6666667,E13,11,I13,478221,J13,8858,K13,43474.63636
12,Santa Fe PHEV,G14,0,B14,0,C14,0,D14,0,E14,0,I14,0,J14,0,K14,
13,Tucson,G15,2,B15,69076,C15,857,D15,428.5,E15,22,I15,816451,J15,16301,K15,37111.40909
14,Tucson HEV,G16,4,B16,144678,C16,1773,D16,443.25,E16,13,I16,520238,J16,9979,K16,40018.30769
15,Tucson PHEV,G17,0,B17,0,C17,0,D17,0,E17,0,I17,0,J17,0,K17,
16,Kona,G18,0,B18,0,C18,0,D18,0,E18,5,I18,155352,J18,5398,K18,31070.4
17,Kona N,G19,0,B19,0,C19,0,D19,0,E19,0,I19,0,J19,0,K19,
18,Kona EV,G20,0,B20,0,C20,0,D20,0,E20,0,I20,0,J20,0,K20,
19,IONIQ 5,G21,0,B21,0,C21,0,D21,0,E21,0,I21,0,J21,0,K21,
20,IONIQ 5 N,G22,0,B22,0,C22,0,D22,0,E22,0,I22,0,J22,0,K22,
21,Nexo,G23,0,B23,0,C23,0,D23,0,E23,0,I23,0,J23,0,K23,
22,Palisade,G24,5,B24,256718,C24,8480,D24,1696,E24,28,I24,1405405,J24,50344,K24,50193.03571
23,Venue,G25,0,B25,0,C25,0,D25,0,E25,1,I25,21478,J25,137,K25,21478
24,Santa Cruz,G26,3,B26,114579,C26,-2770,D26,-923.3333333,E26,8,I26,296246,J26,1261,K26,37030.75
25,IONIQ 9,G27,0,B27,0,C27,0,D27,0,E27,0,I27,0,J27,0,K27,
26,Hyundai Truck Future Product,G28,0,B28,0,C28,0,D28,0,E28,0,I28,0,J28,0,K28,
27,Hyundai Truck Retail Subtotal (Lines 10 to 26),G29,18,B29,770138,C29,11441,D29,635.6111111,E29,112,I29,4746762,J29,118000,K29,42381.80357
28,Total New Hyundai Retail Subtotal (Lines 9 + 27),G30,23,B30,911397,C30,14705,D30,639.3478261,E30,133,I30,5382601,J30,136064,K30,40470.68421
29,Sonata,G31,0,B31,0,C31,0,D31,0,E31,0,I31,0,J31,0,K31,
