Model Group,Net Sales,% of Sales,RDR,SRC RDR,Cancel
2026 J24D2A4T PALISADE HYBRID SEL PREMIUM 8P AWD,2,25.0 %,2,0,0
2026 J24G2A4T PALISADE HYBRID LIMITED AWD,1,12.5 %,1,0,0
2026 J24H2A4T PALISADE HYBRID CALLIGRAPHY AWD,5,62.5 %,5,0,0
Q001 - KONA,21,7.6 %,18,3,0
2025 Q1402A45 KONA SE AWD,2,9.5 %,2,0,0
2025 Q1432A45 KONA SEL AWD,2,9.5 %,1,1,0
2025 Q1442A45 KONA SEL CONVENIENCE AWD,2,9.5 %,2,0,0
2025 Q1452AT5 KONA N LINE S AWD,1,4.8 %,1,0,0
2025 Q1492AT5 KONA LIMITED AWD,1,4.8 %,1,0,0
2026 Q1402A45 KONA SE AWD,4,19.0 %,2,2,0
2026 Q1412A45 KONA SEL SPORT AWD,3,14.3 %,3,0,0
2026 Q1422AT5 KONA SEL PREMIUM AWD,2,9.5 %,2,0,0
2026 Q1492AT5 KONA LIMITED AWD,4,19.0 %,4,0,0
